,best_solution,best_solution_step,min_time_between_best,max_time_between_best,avg_time_between_best,first_solution,last_solution,valid_states,invalid_states,repeated_valid_states,repeated_invalid_states,first_invalid_state,last_invalid_state,actions,repeated_actions,local_optimums_found,best_found_local_optimum,graph_size
0,11.0,9,1,1,1.0,20.0,12.0,25,16,0,0,10,39,20,16,12,True,20
1,9.0,23,1,13,2.090909090909091,20.0,20.0,25,15,1,0,11,40,20,16,13,True,20
2,11.0,9,1,1,1.0,20.0,12.0,25,15,1,0,10,37,20,15,14,True,20
3,9.0,11,1,1,1.0,20.0,12.0,24,16,1,0,12,39,20,16,10,True,20
4,9.0,11,1,1,1.0,20.0,20.0,24,16,1,0,12,40,20,16,11,True,20
5,8.0,18,1,7,1.5,20.0,10.0,28,12,1,0,12,37,20,15,14,True,20
6,11.0,9,1,1,1.0,20.0,12.0,23,14,2,0,10,38,20,16,15,True,20
7,9.0,11,1,1,1.0,20.0,20.0,27,14,0,0,12,40,20,15,11,True,20
8,10.0,10,1,1,1.0,20.0,12.0,26,14,1,0,11,38,20,15,12,True,20
9,10.0,10,1,1,1.0,20.0,12.0,25,15,1,0,11,39,20,16,12,True,20
10,26.0,14,1,1,1.0,40.0,40.0,30,40,0,5,15,80,40,18,10,True,40
11,24.0,16,1,1,1.0,40.0,40.0,34,42,0,2,17,80,40,22,12,True,40
12,25.0,15,1,1,1.0,40.0,40.0,36,42,0,2,16,80,40,25,16,True,40
13,23.0,23,1,5,1.3529411764705883,40.0,40.0,43,38,0,0,16,80,40,30,10,True,40
14,26.0,14,1,1,1.0,40.0,40.0,31,47,1,0,15,80,40,25,9,True,40
15,24.0,18,1,3,1.125,40.0,40.0,35,45,1,0,16,80,40,25,15,True,40
16,25.0,39,1,25,2.6,40.0,40.0,34,43,0,2,14,80,40,23,6,True,40
17,24.0,28,1,13,1.75,40.0,40.0,35,31,0,2,16,80,40,18,11,True,40
18,26.0,14,1,1,1.0,40.0,40.0,32,36,1,2,15,80,40,20,13,True,40
19,24.0,16,1,1,1.0,40.0,40.0,32,39,0,2,17,80,40,21,10,True,40
20,42.0,18,1,1,1.0,60.0,60.0,36,75,4,0,19,120,60,34,22,True,60
21,42.0,18,1,1,1.0,60.0,60.0,36,67,4,2,19,120,60,29,14,True,60
22,40.0,20,1,1,1.0,60.0,60.0,47,66,2,2,21,120,60,33,15,True,60
23,41.0,19,1,1,1.0,60.0,60.0,39,73,4,2,20,120,60,34,10,True,60
24,43.0,17,1,1,1.0,60.0,60.0,33,63,5,2,18,120,60,33,28,True,60
25,42.0,18,1,1,1.0,60.0,60.0,38,64,2,2,19,120,60,28,13,True,60
26,42.0,18,1,1,1.0,60.0,60.0,39,66,1,2,19,120,60,29,13,True,60
27,39.0,35,1,15,1.6666666666666667,60.0,60.0,46,71,0,2,21,120,60,31,11,True,60
28,41.0,59,1,41,3.1052631578947367,60.0,60.0,42,73,2,0,19,120,60,34,19,True,60
29,40.0,38,1,15,1.9,60.0,60.0,47,67,0,2,17,120,60,31,14,True,60
30,59.0,97,1,69,4.619047619047619,80.0,80.0,54,96,2,0,20,160,80,49,20,True,80
31,60.0,22,1,3,1.1,80.0,80.0,53,95,3,0,20,160,80,47,17,True,80
32,59.0,21,1,1,1.0,80.0,80.0,41,102,2,0,22,160,80,41,25,True,80
33,60.0,24,1,5,1.2,80.0,80.0,44,100,6,0,20,160,80,42,26,True,80
34,61.0,19,1,1,1.0,80.0,80.0,42,101,9,0,20,160,80,46,30,True,80
35,59.0,21,1,1,1.0,80.0,80.0,48,95,6,0,22,160,80,45,27,True,80
36,60.0,20,1,1,1.0,80.0,80.0,49,96,3,1,21,160,80,44,24,True,80
37,60.0,20,1,1,1.0,80.0,80.0,65,81,5,0,21,160,80,43,30,True,80
38,58.0,22,1,1,1.0,80.0,80.0,44,102,4,0,23,160,80,45,24,True,80
39,58.0,22,1,1,1.0,80.0,80.0,46,101,5,0,23,160,80,44,18,True,80
40,78.0,50,1,29,2.272727272727273,100.0,100.0,69,113,6,0,22,200,100,60,21,True,100
41,77.0,27,1,5,1.173913043478261,100.0,100.0,71,115,3,0,23,200,100,60,10,True,100
42,77.0,33,1,7,1.434782608695652,100.0,100.0,72,112,2,0,22,200,100,63,24,True,100
43,78.0,22,1,1,1.0,100.0,100.0,53,121,7,0,23,200,100,56,38,True,100
44,79.0,21,1,1,1.0,100.0,100.0,47,126,10,0,22,200,100,57,40,True,100
45,78.0,22,1,1,1.0,100.0,100.0,50,125,9,0,23,200,100,61,40,True,100
46,78.0,22,1,1,1.0,100.0,100.0,53,126,8,0,23,200,100,57,37,True,100
47,78.0,22,1,1,1.0,100.0,100.0,51,123,9,0,23,200,100,53,37,True,100
48,77.0,29,1,5,1.2608695652173914,100.0,100.0,89,98,2,0,22,200,100,60,28,True,100
49,77.0,47,1,25,2.0434782608695654,100.0,100.0,73,108,4,0,23,200,100,63,13,True,100
50,172.0,78,1,51,2.7857142857142856,200.0,200.0,176,169,7,0,28,400,200,141,26,True,200
51,171.0,97,1,69,3.3448275862068964,200.0,200.0,182,171,13,0,29,400,200,131,35,True,200
52,172.0,64,1,37,2.2857142857142856,200.0,200.0,212,142,10,0,28,400,200,145,22,True,200
53,172.0,40,1,13,1.4285714285714286,200.0,200.0,173,182,5,0,28,400,200,137,38,True,200
54,171.0,29,1,1,1.0,200.0,200.0,214,139,9,0,30,400,193,149,11,True,200
55,171.0,85,1,57,2.9310344827586206,200.0,200.0,182,169,9,0,29,400,200,140,29,True,200
56,174.0,54,1,17,2.076923076923077,200.0,200.0,174,185,5,1,25,400,200,133,19,True,200
57,173.0,27,1,1,1.0,200.0,200.0,118,194,15,0,28,400,200,136,68,True,200
58,172.0,76,1,49,2.7142857142857144,200.0,200.0,182,169,13,0,28,400,200,137,25,True,200
59,173.0,57,1,31,2.111111111111111,200.0,200.0,187,170,5,0,27,400,200,129,20,True,200
